"3049"	[44762543450000000000, "2018-03-01"]
"2189"	[10000000000000, "2017-09-01"]
"2194"	[148591421140200000000, "2017-09-01"]
"6130"	[19686911553828441940, "2018-07-01"]
"2674"	[3287400000000000000, "2018-01-01"]
"4403"	[7685191800000000000, "2018-06-01"]
"4593"	[24960468556664240011, "2018-07-01"]
"3333"	[999916000000000000, "2018-04-01"]
"3027"	[45650803462177021799, "2018-03-01"]
"6804"	[1652000000000000000, "2019-06-01"]
"5378"	[1172387200000000000, "2018-08-01"]
"3521"	[4200000000000000000, "2018-04-01"]
"3766"	[5990966180000000000, "2018-05-01"]
"3533"	[7243019750000000000, "2018-05-01"]
"2689"	[1297000000000000000, "2018-01-01"]
"6125"	[39224301261170267551, "2018-07-01"]
"3662"	[181683921000000000000, "2018-06-01"]
"5418"	[1961271430000000000, "2018-08-01"]
"4583"	[117316270682640000000, "2018-07-01"]
"5688"	[27385800000000000, "2018-09-01"]
"3096"	[25528078500000000000, "2018-03-01"]
"5498"	[2288005000000000000, "2018-08-01"]
"5371"	[3110278000000000000, "2018-08-01"]
"5244"	[2000000000000000000, "2018-08-01"]
"6072"	[6447880270000000000, "2018-05-01"]
"4785"	[23451561830000000000, "2018-07-01"]
"2809"	[12026000000000000000, "2018-02-01"]
"5176"	[6004883200000000000, "2018-08-01"]
"2135"	[127638960025838092158, "2017-08-01"]
"5470"	[70000000000000000, "2018-07-01"]
"5030"	[224781440000000000, "2018-08-01"]
"3298"	[40446788710000000000, "2018-04-01"]
"3265"	[59226900205981936288, "2018-04-01"]
"3995"	[4000000000000000000, "2018-05-01"]
"2536"	[11416289950000000000, "2017-12-01"]
"5403"	[549958000000000000, "2018-08-01"]
"2367"	[3100000000000000000, "2017-10-01"]
"3128"	[5426323190000000000, "2019-06-01"]
"4822"	[19838218386233026200, "2018-07-01"]
"4915"	[1000000000000000000, "2018-09-01"]
"3226"	[32376969850000000512, "2018-03-01"]
"3572"	[11525126980000000000, "2018-05-01"]
"3303"	[26404537499581260444, "2018-04-01"]
"3543"	[22861748697000000000, "2018-05-01"]
"3444"	[25128689990000000000, "2018-05-01"]
"3377"	[2568957860000000000, "2018-04-01"]
"5575"	[210000000000000000, "2018-09-01"]
"4630"	[29820317760000000000, "2018-07-01"]
"4625"	[36561473832432432524, "2018-07-01"]
"3299"	[1754646242000000000, "2018-04-01"]
"5854"	[1011002000000000000, "2018-09-01"]
"4557"	[8285311320000000000, "2018-07-01"]
"5611"	[4537927160000000000, "2018-09-01"]
"4725"	[53070251570000000000, "2018-07-01"]
"5949"	[500000000000000000, "2018-10-01"]
"6606"	[17529784852227761030, "2019-04-01"]
"6043"	[680000000000000000, "2018-10-01"]
"5492"	[776194000000000000, "2018-09-01"]
"5118"	[2087593900000000000, "2018-08-01"]
"6830"	[1052211940000000000, "2019-06-01"]
"2554"	[3779000000000000000, "2017-12-01"]
"4665"	[2761128000000000000, "2018-07-01"]
"3065"	[9974850070000000000, "2018-03-01"]
"5544"	[2100000000000000000, "2018-08-01"]
"3328"	[28212091975632109921, "2018-04-01"]
"2536"	[3815205010000000000, "2017-12-01"]
"5691"	[10736770777563820633, "2018-09-01"]
"2730"	[84200361652849608079, "2018-01-01"]
"5205"	[3515000000000000000, "2018-08-01"]
"3409"	[1902360896000000000, "2018-04-01"]
"2660"	[66936184710000000000, "2018-01-01"]
"5220"	[878300000000000000, "2018-09-01"]
"3671"	[47881865035476904107, "2018-05-01"]
"6753"	[3390937160802922716, "2019-06-01"]
"5736"	[3923124188348389828, "2018-10-01"]
"2463"	[943389220000000000, "2017-11-01"]
"6097"	[84868718370000000000, "2018-11-01"]
"4616"	[5620001080000000000, "2018-07-01"]
"6195"	[6083089350000000000, "2018-12-01"]
"2819"	[3931539000000000000, "2018-02-01"]
"3505"	[8875952893556085919, "2018-06-01"]
"5892"	[1097322140000000000, "2018-09-01"]
"3323"	[35590304257110983434, "2018-04-01"]
"6769"	[1668481180000000000, "2019-06-01"]
"4485"	[40754422550000000000, "2018-06-01"]
"2242"	[27396502353002496440, "2017-09-01"]
"5965"	[200000000000000000, "2018-10-01"]
"3715"	[51793494161276539704, "2018-05-01"]
"5739"	[16037380000000000000, "2018-09-01"]
"5099"	[2390000000000000000, "2018-08-01"]
"5003"	[3014839000000000000, "2018-08-01"]
"4482"	[37582710442000000000, "2018-07-01"]
"4441"	[3915261300000000001, "2018-06-01"]
"4353"	[280000000000000000, "2018-09-01"]
"4824"	[9431000000000000000, "2018-07-01"]
"4362"	[8781352410000000000, "2018-06-01"]
"3568"	[1255292420000000000, "2018-05-01"]
"5425"	[200000000000000000, "2018-02-01"]
"2995"	[86010823486875264397, "2018-04-01"]
"4407"	[4017774280000000000, "2018-07-01"]
"6527"	[7896788390000000000, "2019-03-01"]
"2258"	[120936228520841184437, "2018-03-01"]
"3827"	[586842360000000000, "2018-05-01"]
"5742"	[2000000000000000000, "2018-09-01"]
"3545"	[22933130300362402450, "2018-05-01"]
"2954"	[9047944384000000000, "2018-03-01"]
"5450"	[3328328370000000000, "2018-08-01"]
"3527"	[15610935910000000000, "2018-05-01"]
"5019"	[500000000000000000, "2018-08-01"]
"3408"	[1590610780000000000, "2018-04-01"]
"6821"	[2087919360000000000, "2019-06-01"]
"4173"	[10098042980000000000, "2018-06-01"]
"4622"	[89680307373238852992, "2019-05-01"]
"3408"	[4620000000000000000, "2018-04-01"]
"3046"	[2149828430000000000, "2018-03-01"]
"3868"	[848499433773376462, "2018-05-01"]
"2135"	[1086092910876542255474, "2019-06-01"]
"4262"	[13325189740000000000, "2018-06-01"]
"3643"	[4414041888000000000, "2018-05-01"]
"2582"	[309130660561296162608, "2018-05-01"]
"5441"	[7926695740000000000, "2018-08-01"]
"2349"	[54224358000000000000, "2017-10-01"]
"6780"	[14811993700000000000, "2018-10-01"]
"4755"	[7407787617068034050, "2018-07-01"]
"5524"	[1305746620000000000, "2018-10-01"]
"6680"	[8990633958000000000, "2019-06-01"]
"78"	[304492098554796481790, "2017-07-01"]
"4591"	[1095612000000000000, "2018-07-01"]
"4417"	[14305130310000000000, "2018-06-01"]
"5644"	[14252517000000000000, "2018-09-01"]
"6692"	[6850692117351102186, "2019-05-01"]
"3102"	[35294708403304477991, "2018-03-01"]
"6046"	[7107279830000000000, "2019-01-01"]
"4749"	[100000000000000000, "2018-07-01"]
"3571"	[25670207230000000000, "2018-04-01"]
"4415"	[500000000000000000, "2018-06-01"]
"3063"	[2000000000000000000, "2018-03-01"]
"3546"	[22916746339000000000, "2018-05-01"]
"2346"	[1500000000000000000, "2017-10-01"]
"5214"	[5000000000000000000, "2018-08-01"]
"3382"	[42599696800000000000, "2018-04-01"]
